,day,size,250,out_250,500,out_500,1000,out_1000,2000,out_2000
0,2024-01-19 00:00:00,30,0.20967450262083862,0,0.13023754624916373,3,0.4566143466719595,0,0.19864982778441603,0
0,2024-01-18 00:00:00,30,0.2662066970107519,0,0.21830608178897218,0,0.4277344408070282,0,0.31904935890770386,1
0,2024-01-17 00:00:00,30,0.3715336868391951,0,0.43296931090435814,0,0.34050418333392,0,0.15245341098557252,0
0,2024-01-16 00:00:00,30,0.3021391213052326,1,0.37002356656251884,3,0.0173119078597586,1,-0.41840807059504415,0
0,2024-01-15 00:00:00,30,0.23205922434612303,0,0.16948591782787303,1,0.05537796284331279,2,-0.5263502963863059,1
0,2024-01-14 00:00:00,30,0.37988090581484085,0,0.34919922699634653,0,0.25751049465922343,0,-0.28636825566288693,0
0,2024-01-13 00:00:00,30,0.3031195968588949,1,0.32597832344253047,2,0.32994422719058286,2,-0.17894484484575862,0
0,2024-01-12 00:00:00,30,-0.301347837349491,0,-1.0034550150915778,0,-0.5114801904872925,0,-0.08191780038375046,0
0,2024-01-11 00:00:00,30,0.359557596223405,0,0.38064652911468494,0,0.4642569135167761,0,0.37715155055637706,2
0,2024-01-10 00:00:00,30,0.3138085827600246,0,0.3143205822561073,0,0.3847950567816575,2,0.08328516687938273,0
0,2024-01-09 00:00:00,30,0.39227408296685157,0,0.3667961618171289,0,0.545531182107392,1,0.26290769912651263,0
0,2024-01-08 00:00:00,30,0.2096168355352366,0,0.13943904976625593,0,0.3809455979294915,1,-0.0044651224451949445,0
0,2024-01-07 00:00:00,30,0.23285872297385188,0,0.33081906562178565,0,0.45377632746615665,0,0.2648331545995061,0
0,2024-01-06 00:00:00,30,0.340795104878126,0,0.35898331135130546,1,0.5705685730760103,0,0.35160495210371523,0
0,2024-01-05 00:00:00,30,0.3588784612485374,1,0.33998477353836515,0,0.5289754493472977,0,0.27894156008167814,0
0,2024-01-04 00:00:00,30,0.3113448388170793,0,0.28857867845029866,0,0.3440080157633962,0,0.06183898070314167,0
0,2024-01-03 00:00:00,30,0.21264805007775592,1,0.24933143578838748,1,0.3779670537516485,2,0.21887885915556987,0
0,2024-01-02 00:00:00,30,0.3527999819032148,0,0.34196048293804954,0,0.5261804001864362,0,0.3526287125715652,0
0,2024-01-01 00:00:00,30,0.23588119584833092,0,-0.399722577442,0,-0.156742031751434,1,-0.13545612207884639,0
0,2023-12-31 00:00:00,30,0.3152042578529422,0,0.31034056916037395,0,0.4196844789822433,0,0.317335659883795,3
0,2023-12-30 00:00:00,30,0.3169398233690615,0,0.2141920962848403,0,0.42445128967714174,0,0.29927622062187115,1
0,2023-12-29 00:00:00,30,0.3214915694784595,0,0.32452715827996775,0,0.412951866227308,0,0.2689953386940585,0
0,2023-12-28 00:00:00,30,0.28282340776590653,0,0.3450904658985088,1,0.3801986268478349,0,0.2644280462906607,0
0,2023-12-27 00:00:00,30,0.22944899981068942,1,0.23557222114004933,0,0.19364529278989578,1,-0.3666544243073412,0
0,2023-12-26 00:00:00,30,0.3546835964421564,1,0.3719137349859453,0,0.5135590899423461,1,0.3516217215974762,1
0,2023-12-25 00:00:00,30,0.3449913496692436,1,0.4086572029971738,0,0.5217086867672097,0,0.1761959140324585,0
0,2023-12-24 00:00:00,30,0.3064869072224155,0,0.3497356628916082,0,0.4900457873788949,0,0.2909771849690022,0
0,2023-12-23 00:00:00,30,0.27892259937472375,0,0.33601381646883755,0,0.4073065271430229,0,0.33927414319768034,0
0,2023-12-22 00:00:00,30,-0.024621691711380553,1,0.01739044067757534,1,0.15790321219020406,0,-0.032331804062730674,0
0,2023-12-21 00:00:00,30,-0.007002443420412324,1,0.07121729362947249,1,0.21008827968877725,0,-0.044417307258029254,0
0,2023-12-20 00:00:00,30,0.02310819649006195,0,0.014859994132681645,0,0.1205587360060326,1,0.01217709244860478,0
0,2023-12-19 00:00:00,30,-0.005939036316359805,0,0.0551703385528758,0,0.21109781354045132,0,-0.005529399995879719,0
0,2023-12-18 00:00:00,30,-0.007931028745131923,0,0.017737894574709392,1,0.1590644390037584,0,0.09346814439099109,0
0,2023-12-17 00:00:00,30,-0.15057446436443736,0,-0.10429317022873537,0,0.03633439452179728,0,-0.42924070769259826,0
0,2023-12-16 00:00:00,30,-0.09570481852874282,0,0.004889294988445405,0,0.12628770550772261,0,-0.08044679623117745,0
0,2023-12-15 00:00:00,30,-0.0011642082284299808,0,0.10814351937485416,0,0.14177768417892248,1,0.04270516867596956,0
0,2023-12-14 00:00:00,30,0.033961107412540104,1,0.02986847205120904,0,0.1365762735068321,1,-0.0013129163081908302,0
0,2023-12-13 00:00:00,30,0.033961107412540104,1,0.02986847205120904,0,0.1365762735068321,1,-0.0013129163081908302,0
0,2023-12-12 00:00:00,30,0.033961107412540104,1,0.02986847205120904,0,0.1365762735068321,1,-0.0013129163081908302,0
0,2023-12-11 00:00:00,30,0.033961107412540104,1,0.02986847205120904,0,0.1365762735068321,1,-0.0013129163081908302,0
0,2023-12-10 00:00:00,30,0.033961107412540104,1,0.02986847205120904,0,0.1365762735068321,1,-0.0013129163081908302,0
0,2023-12-09 00:00:00,30,0.033961107412540104,1,0.02986847205120904,0,0.1365762735068321,1,-0.0013129163081908302,0
0,2023-12-08 00:00:00,30,-0.0007828103842880179,4,0.10936402775016367,4,0.19777988846852,3,0.032012274720510214,0
0,2023-12-07 00:00:00,30,-0.028901016362466846,1,0.01960703867726856,0,0.23789618805833895,0,0.07136151543294512,0
0,2023-12-06 00:00:00,30,-0.059879192684593074,0,0.008500032794036123,0,0.1971936022077388,1,-0.0014788984462388004,0
